Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG_perc,3pt_perc,FT_perc,WS,VORP,BPM,All_NBA,All_Star
Alex English,DEN,36.5,26.5,4,4.7,0.8,0.1,0.491,0.25,0.858,6.8,1.3,-0.2,0,1
Karl Malone,UTA,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,6.5,6.1,1,1
Dale Ellis,SEA,38.9,27.5,4.2,2,1.3,0.3,0.501,0.478,0.816,10.8,3.3,2.1,1,1
Hakeem Olajuwon,HOU,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,5.6,5.4,1,1
Clyde Drexler,POR,39.3,27.2,7.9,5.8,2.7,0.7,0.496,0.26,0.799,12.6,7.2,7.3,0,1
James Worthy,LAL,36.5,20.5,6,3.6,1.3,0.7,0.548,0.087,0.782,9.7,3.8,3.1,0,1
Tom Chambers,PHO,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,2.4,1.2,1,1
Chris Mullin,GSW,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,4.4,3.7,1,1
Kareem Abdul-Jabbar,LAL,22.9,10.1,4.5,1,0.5,1.1,0.475,0,0.739,2.9,-0.1,-2.3,0,1
Mark Eaton,UTA,35.5,6.2,10.3,1,0.5,3.8,0.462,0,0.66,6.6,3.7,3,0,1
Kevin Duckworth,POR,33.7,18.1,8,0.8,0.7,0.6,0.477,0,0.757,4.8,-1.1,-3.7,0,1
Michael Jordan,CHI,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,12,12.6,1,1
Isiah Thomas,DET,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7,3.1,2.2,0,1
Charles Barkley,PHI,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,9.2,9.8,1,1
Moses Malone,ATL,35.5,20.2,11.8,1.4,1,1.2,0.491,0,0.789,10.7,3,2.1,0,1
Dominique Wilkins,ATL,37.5,26.2,6.9,2.6,1.5,0.7,0.464,0.276,0.844,10.4,3.5,2.6,1,1
Mark Price,CLE,36.4,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,3.8,3.5,1,1
Terry Cummings,MIL,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,2.6,1.7,1,1
Larry Nance,CLE,34.6,17.2,8,2.2,0.8,2.8,0.539,0,0.799,10.3,3.8,4,0,1
Patrick Ewing,NYK,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,4.9,4.7,1,1
Kevin McHale,BOS,36.9,22.5,8.2,2.2,0.3,1.2,0.546,0,0.818,10.1,3,2.1,0,1
Mark Jackson,NYK,34.4,16.9,4.7,8.6,1.9,0.1,0.467,0.338,0.698,7.2,3.3,3.3,0,1
Brad Daugherty,CLE,36.2,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,9.6,3.3,2.6,0,1
Magic Johnson,LAL,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,8.2,9.3,1,1
Kevin Johnson,PHO,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,4.5,3.5,1,0
Robert Parish,BOS,35.5,18.6,12.5,2.2,1,1.5,0.57,0,0.719,10.5,4.5,4.2,1,0
Michael Jordan,CHI,39,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,10.1,10.6,1,1
Isiah Thomas,DET,37,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,3.4,2.5,0,1
Patrick Ewing,NYK,38.6,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,5.2,4.6,1,1
Larry Bird,BOS,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,6.1,6.1,1,1
Charles Barkley,PHI,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,9.2,9.8,1,1
Robert Parish,BOS,30.3,15.7,10.1,1.3,0.5,0.9,0.58,0,0.747,7.8,2.1,1.4,0,1
Kevin McHale,BOS,33.2,20.9,8.3,2.1,0.4,1.9,0.549,0.333,0.893,11.1,3.9,3.7,0,1
Joe Dumars,DET,34.4,17.8,2.8,4.9,0.8,0,0.48,0.4,0.9,8.7,2.3,1.5,1,1
Dominique Wilkins,ATL,36.1,26.7,6.5,2.5,1.6,0.6,0.484,0.322,0.807,11.1,4.2,3.7,0,1
Reggie Miller,IND,38.9,24.6,3.6,3.8,1.3,0.2,0.514,0.414,0.868,12.1,4.6,3.8,0,1
Scottie Pippen,CHI,38.4,16.5,6.7,5.4,2.6,1.2,0.489,0.25,0.675,5.7,3.6,2.6,0,1
Dennis Rodman,DET,29,8.8,9.7,0.9,0.6,0.7,0.581,0.111,0.654,9.3,3.2,3.4,0,1
Hakeem Olajuwon,HOU,38.1,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,6.3,5.9,1,1
Magic Johnson,LAL,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,8.5,9.5,1,1
James Worthy,LAL,37,21.1,6,3.6,1.2,0.6,0.548,0.306,0.782,10.6,4.5,4,1,1
John Stockton,UTA,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,4.5,4.2,1,1
A.C. Green,LAL,33,12.9,8.7,1.1,0.8,0.6,0.478,0.283,0.751,7.7,1.6,0.4,0,1
David Robinson,SAS,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,6.4,6.5,1,1
Fat Lever,DEN,35.8,18.3,9.3,6.5,2.1,0.2,0.443,0.414,0.804,8.8,5.4,5.6,0,1
Tom Chambers,PHO,37.6,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,2.9,1.8,1,1
Rolando Blackman,DAL,36.7,19.4,3.5,3.6,1,0.3,0.498,0.302,0.844,6.8,1.9,0.5,0,1
Clyde Drexler,POR,36.8,23.3,6.9,5.9,2,0.7,0.494,0.283,0.774,11.6,6.6,7.9,1,1
Chris Mullin,GSW,36.3,25.1,5.9,4.1,1.6,0.6,0.536,0.372,0.889,10.2,4.9,4.8,1,1
Kevin Johnson,PHO,37.6,22.5,3.6,11.4,1.3,0.2,0.499,0.195,0.838,11.6,4,3.7,1,1
Karl Malone,UTA,38.1,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,6.7,6.6,1,1
Michael Jordan,CHI,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,9.8,10.8,1,1
Charles Barkley,PHI,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,7.4,9.9,1,1
Patrick Ewing,NYK,38.3,26.6,11.2,3,1,3.2,0.514,0,0.745,10,4.6,3.9,1,1
Bernard King,WSB,37.5,28.4,5,4.6,0.9,0.3,0.472,0.216,0.79,3.5,1.3,0.1,1,1
Joe Dumars,DET,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,2.9,1.8,1,1
Dominique Wilkins,ATL,38,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,5.2,4.7,1,1
Ricky Pierce,MIL,27.8,20.5,2.4,2.2,0.8,0.2,0.485,0.397,0.913,7.9,1,-0.2,0,1
Hersey Hawkins,PHI,38.9,22.1,3.9,3.7,2.2,0.5,0.472,0.4,0.871,9.8,4.3,3.5,0,1
Kevin McHale,BOS,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,2.3,2.5,0,1
Brad Daugherty,CLE,38.8,21.6,10.9,3.3,1,0.6,0.524,0,0.751,9,3.1,2.2,0,1
Alvin Robertson,MIL,32.1,13.6,5.7,5.5,3,0.2,0.485,0.365,0.757,7.7,5.3,6.1,0,1
Robert Parish,BOS,30.1,14.9,10.6,0.8,0.8,1.3,0.598,0,0.767,10,2.3,1.7,0,1
Karl Malone,UTA,40.3,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,6.5,5.8,1,1
Magic Johnson,LAL,37.1,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,15.4,7.6,8.3,1,1
Chris Mullin,GSW,40.4,25.7,5.4,4,2.1,0.8,0.536,0.301,0.884,12.2,5.4,4.5,1,1
Kevin Johnson,PHO,36,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,5.1,5.2,1,1
David Robinson,SAS,37.7,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,8.1,8.4,1,1
James Worthy,LAL,38.6,21.4,4.6,3.5,1.3,0.4,0.492,0.289,0.797,9,3.2,2.3,1,1
Clyde Drexler,POR,34.8,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,6.7,7.3,1,1
Kevin Duckworth,POR,31,15.8,6.6,1.1,0.4,0.4,0.481,0,0.772,4.3,-0.7,-3.2,0,1
Tom Chambers,PHO,32.6,19.9,6.4,2.6,0.9,0.7,0.437,0.274,0.826,5.4,0.6,-1.1,0,1
Terry Porter,POR,32.9,17,3.5,8,2,0.1,0.515,0.415,0.823,13,5.5,6.1,0,1
Tim Hardaway,GSW,39.2,22.9,4,9.7,2.6,0.1,0.476,0.385,0.803,9.9,4.9,4,0,1
John Stockton,UTA,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14,5,4.4,1,1
Hakeem Olajuwon,HOU,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0,0.769,8.6,4.3,6.3,1,0
Clyde Drexler,POR,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,7.2,8.4,1,1
Chris Mullin,GSW,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,4.6,3.5,1,1
Karl Malone,UTA,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,5.6,5.3,1,1
David Robinson,SAS,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,7.8,10,1,1
Jeff Hornacek,PHO,38,20.1,5,5.1,2,0.4,0.512,0.439,0.886,11.6,5.5,5.1,0,1
Tim Hardaway,GSW,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,3.9,2.6,1,1
Hakeem Olajuwon,HOU,37.7,21.6,12.1,2.2,1.8,4.3,0.502,0,0.766,9.8,4.7,5,0,1
John Stockton,UTA,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,5.3,5.1,1,1
James Worthy,LAL,39,19.9,5.6,4.7,1.4,0.4,0.447,0.209,0.814,3.1,1.5,0.7,0,1
Dan Majerle,PHO,34.8,17.3,5.9,3.3,1.6,0.5,0.478,0.382,0.756,9.8,4.4,4.1,0,1
Dikembe Mutombo,DEN,38.3,16.6,12.3,2.2,0.6,3,0.493,0,0.642,4.8,2.3,1.4,0,1
Otis Thorpe,HOU,37.3,17.3,10.5,3,0.6,0.5,0.592,0,0.657,8.9,3.5,2.5,0,1
Michael Jordan,CHI,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,8.3,8.6,1,1
Isiah Thomas,DET,37.4,18.5,3.2,7.2,1.5,0.2,0.446,0.291,0.772,5.8,2.1,0.8,0,1
Charles Barkley,PHI,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,6.9,7.4,1,1
Scottie Pippen,CHI,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,6.8,6.5,1,1
Patrick Ewing,NYK,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,4.8,4,1,1
Dennis Rodman,DET,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,5.8,4.9,1,1
Joe Dumars,DET,38.9,19.9,2.3,4.6,0.9,0.1,0.448,0.408,0.867,8.2,1.6,0,0,1
Reggie Lewis,BOS,37.4,20.8,4.8,2.3,1.5,1.3,0.503,0.238,0.851,9.1,3.4,2.4,0,1
Brad Daugherty,CLE,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,4.7,5,1,1
Mark Price,CLE,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,3.1,3.8,1,1
Michael Adams,WSB,35.8,18.1,4,7.6,1.9,0.1,0.393,0.324,0.869,5.3,2.6,1.7,0,1
Kevin Willis,ATL,36.6,18.3,15.5,2.1,0.9,0.7,0.483,0.162,0.804,8.8,2.2,1,1,1
Kevin Johnson,PHO,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,3.1,2.2,1,0
Karl Malone,UTA,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,7.6,7.6,1,1
Charles Barkley,PHO,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,7.5,8.3,1,1
John Stockton,UTA,34.9,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,3.8,3.3,1,1
David Robinson,SAS,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,7,6.7,1,1
Clyde Drexler,POR,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,3.4,6.1,0,1
Dan Majerle,PHO,39,16.9,4.7,3.8,1.7,0.4,0.464,0.381,0.778,9.8,4.9,4,0,1
Tim Hardaway,GSW,39.5,21.5,4,10.6,1.8,0.2,0.447,0.33,0.744,7.5,3.2,2.8,1,1
Hakeem Olajuwon,HOU,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,8.5,8.4,1,1
Terry Porter,POR,35.6,18.2,3.9,5.2,1.2,0.1,0.454,0.414,0.843,8.8,3.2,2.4,0,1
Danny Manning,LAC,34.9,22.8,6.6,2.6,1.4,1.3,0.509,0.267,0.802,7.9,2.9,2.1,0,1
Sean Elliott,SAS,37.2,17.2,4.6,3.8,1,0.4,0.491,0.356,0.795,6.1,2.3,1.6,0,1
Shawn Kemp,SEA,33.1,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,3.4,3.2,0,1
Michael Jordan,CHI,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,8.9,9.5,1,1
Isiah Thomas,DET,37,17.6,2.9,8.5,1.6,0.2,0.418,0.308,0.737,3.7,1.6,0.2,0,1
Scottie Pippen,CHI,38.6,18.6,7.7,6.3,2.1,0.9,0.473,0.237,0.663,8.6,5,4.3,1,1
Shaquille O'Neal,ORL,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,4.4,3.7,0,1
Larry Johnson,CHH,40.5,22.1,10.5,4.3,0.6,0.3,0.526,0.254,0.767,9.6,4.6,3.4,1,1
Patrick Ewing,NYK,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,3.2,2.2,1,1
Mark Price,CLE,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,3.1,3.2,1,1
Brad Daugherty,CLE,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,4.9,5.2,0,1
Dominique Wilkins,ATL,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,3.7,3.6,1,1
Joe Dumars,DET,40.2,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,2.6,1.4,1,1
Detlef Schrempf,IND,37.8,19.1,9.5,6,1,0.3,0.476,0.154,0.804,10.4,4.8,4.1,0,1
Larry Nance,CLE,35.8,16.5,8.7,2.9,0.7,2.6,0.549,0,0.818,10.7,4.4,4.4,0,1
Derrick Coleman,NJN,36.3,20.7,11.2,3.6,1.2,1.7,0.46,0.232,0.808,9.5,4.8,4.8,1,0
Drazen Petrovic,NJN,38,22.3,2.7,3.5,1.3,0.2,0.518,0.449,0.87,8.4,2.7,2,1,0
Scottie Pippen,CHI,38.3,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,7.2,8.3,1,1
Shaquille O'Neal,ORL,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,16.9,7.1,6.6,1,1
B.J. Armstrong,CHI,33.8,14.8,2.1,3.9,1,0.1,0.476,0.444,0.855,7.5,0.8,-0.9,0,1
Derrick Coleman,NJN,36.1,20.2,11.3,3.4,0.9,1.8,0.447,0.314,0.774,9.9,4.5,4.5,1,1
Kenny Anderson,NJN,38.2,18.8,3.9,9.6,1.9,0.2,0.417,0.303,0.818,7.5,3.2,2.1,0,1
Patrick Ewing,NYK,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,4.9,4.5,0,1
Mark Price,CLE,31.4,17.3,3,7.8,1.4,0.1,0.478,0.397,0.888,10,3.9,4.6,1,1
John Starks,NYK,34.9,19,3.1,5.9,1.6,0.1,0.42,0.335,0.754,5.8,2.4,2.7,0,1
Dominique Wilkins,ATL,35.6,26,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,1.9,0.9,1,1
Horace Grant,CHI,36.7,15.1,11,3.4,1.1,1.2,0.524,0,0.596,10,4.6,5.2,0,1
Mookie Blaylock,ATL,36,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,5.4,5.3,0,1
Charles Oakley,NYK,35.8,11.8,11.8,2.7,1.3,0.2,0.478,0,0.776,10.5,4.4,4,0,1
Hakeem Olajuwon,HOU,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,7.5,7,1,1
Mitch Richmond,SAC,37.1,23.4,3.7,4,1.3,0.2,0.445,0.407,0.834,6.4,2.3,1.2,1,1
Shawn Kemp,SEA,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,5.6,6.5,1,1
Karl Malone,UTA,40.6,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,13.4,6.9,6.3,1,1
Clyde Drexler,POR,34.3,19.2,6.5,4.9,1.4,0.5,0.428,0.324,0.777,6.8,3.5,3.9,0,1
John Stockton,UTA,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,4.8,4.4,1,1
David Robinson,SAS,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20,10.6,10.9,1,1
Clifford Robinson,POR,34.8,20.1,6.7,1.9,1.4,1.4,0.457,0.245,0.765,7.5,1.9,0.6,0,1
Danny Manning,LAC,37.1,20.6,6.8,3.8,1.5,1.2,0.488,0.176,0.669,3.5,1.7,0.6,0,1
Gary Payton,SEA,35.1,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,9.3,3.5,2.8,1,1
Latrell Sprewell,GSW,43.1,21,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8,3.6,2,1,1
Kevin Johnson,PHO,36.6,20,2.5,9.5,1.9,0.1,0.487,0.222,0.819,8.7,1.8,0.9,1,1
Charles Barkley,PHO,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,4.5,5.7,1,1
Hakeem Olajuwon,HOU,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,5.3,5.3,1,1
Charles Barkley,PHO,35,23,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,5.1,6.4,1,1
Shawn Kemp,SEA,32.7,18.7,10.9,1.8,1.2,1.5,0.547,0.286,0.749,10.6,3.5,3.1,1,1
Latrell Sprewell,GSW,40.2,20.6,3.7,4,1.6,0.7,0.418,0.276,0.781,2,0.7,-1.1,0,1
Dan Majerle,PHO,37.7,15.6,4.6,4.1,1.2,0.5,0.425,0.363,0.73,7.7,3.9,3,0,1
Gary Payton,SEA,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,5,4.5,1,1
Mitch Richmond,SAC,38.7,22.8,4.4,3.8,1.1,0.4,0.446,0.368,0.843,8,3,1.8,1,1
Dikembe Mutombo,DEN,37.8,11.5,12.5,1.4,0.5,3.9,0.556,0,0.654,8.7,4.3,3.5,0,1
Detlef Schrempf,SEA,35.2,19.2,6.2,3.8,1.1,0.4,0.523,0.514,0.839,12.9,4.7,4.5,1,1
Karl Malone,UTA,38.1,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,6.1,5.8,1,1
David Robinson,SAS,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,8.1,8.4,1,1
John Stockton,UTA,35,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,5.4,5.5,1,1
Anfernee Hardaway,ORL,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,4.5,4.2,1,1
Scottie Pippen,CHI,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,7.4,7.8,1,1
Shaquille O'Neal,ORL,37,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,5.4,5.4,1,1
Reggie Miller,IND,32.9,19.6,2.6,3,1.2,0.2,0.462,0.415,0.897,11.4,4.3,4.3,1,1
Grant Hill,DET,38.3,19.9,6.4,5,1.8,0.9,0.477,0.148,0.732,5.4,2.6,1.8,0,1
Patrick Ewing,NYK,37,23.9,11,2.7,0.9,2,0.503,0.286,0.75,9.6,3.1,2.2,0,1
Joe Dumars,DET,38,18.1,2.4,5.5,1.1,0.1,0.43,0.305,0.805,1.7,-0.4,-2.6,0,1
Larry Johnson,CHH,39.9,18.8,7.2,4.6,1,0.3,0.48,0.386,0.774,8.5,4,2.9,0,1
Alonzo Mourning,CHH,38.2,21.3,9.9,1.4,0.6,2.9,0.519,0.324,0.761,9.4,2.5,1.3,0,1
Dana Barros,PHI,40.5,20.6,3.3,7.5,1.8,0,0.49,0.464,0.899,12.7,5.3,4.3,0,1
Vin Baker,MIL,41,17.7,10.3,3.6,1,1.4,0.483,0.292,0.593,5.8,3.1,1.6,0,1
Tyrone Hill,CLE,34.2,13.8,10.9,0.8,0.8,0.6,0.504,0,0.662,6.9,0.5,-1.1,0,1
Clyde Drexler,HOU,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,5.9,6.5,1,0
Dennis Rodman,SAS,32,7.1,16.8,2,0.6,0.5,0.571,0,0.676,5.8,2.3,3.8,1,0
Anfernee Hardaway,ORL,36.8,21.7,4.3,7.1,2,0.5,0.513,0.314,0.767,14.4,6.4,6.4,1,1
Shaquille O'Neal,ORL,36,26.6,11,2.9,0.6,2.1,0.573,0.5,0.487,6.9,2.7,3.5,1,1
Grant Hill,DET,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,5.8,5.1,1,1
Scottie Pippen,CHI,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,6.3,6.8,1,1
Michael Jordan,CHI,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,8.3,8.6,1,1
Terrell Brandon,CLE,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,5.2,6,0,1
Reggie Miller,IND,34.5,21.1,2.8,3.3,1,0.2,0.473,0.41,0.863,10.3,3.9,3.9,1,1
Juwan Howard,WSB,40.7,22.1,8.1,4.4,0.8,0.5,0.489,0.308,0.749,5.6,1.8,0.2,1,1
Glen Rice,CHH,39.8,21.6,4.8,2.9,1.2,0.2,0.471,0.424,0.837,8.3,3,1.8,0,1
Vin Baker,MIL,40.5,21.1,9.9,2.6,0.8,1.1,0.489,0.208,0.67,6.2,2.1,0.4,0,1
Alonzo Mourning,MIA,38.2,23.2,10.4,2.3,1,2.7,0.523,0.3,0.685,9.9,4.3,4.4,0,1
Patrick Ewing,NYK,36.6,22.5,10.6,2.1,0.9,2.4,0.466,0.143,0.761,6.8,1.1,-0.4,0,1
Shawn Kemp,SEA,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,3.9,3.8,1,1
Jason Kidd,DAL,37.5,16.6,6.8,9.7,2.2,0.3,0.381,0.336,0.692,4.3,3.5,2.7,0,1
Clyde Drexler,HOU,38.4,19.3,7.2,5.8,2,0.5,0.433,0.332,0.784,6.7,3.4,4.7,0,1
Charles Barkley,PHO,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,5.2,5.9,1,1
Hakeem Olajuwon,HOU,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,4.7,4.6,1,1
Gary Payton,SEA,39,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,5.3,4.7,1,1
Mitch Richmond,SAC,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,3.6,2.9,1,1
David Robinson,SAS,36.8,25,12.2,3,1.4,3.3,0.516,0.333,0.761,18.3,8.5,9.2,1,1
Sean Elliott,SAS,37.7,20,5.1,2.7,0.9,0.4,0.466,0.411,0.771,7.7,2.9,2,0,1
Karl Malone,UTA,38,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,7.4,7.3,1,1
John Stockton,UTA,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13,4.2,3.7,1,1
Dikembe Mutombo,DEN,36.7,11,11.8,1.5,0.5,4.5,0.499,0,0.695,7.6,3.6,3.2,0,1
Michael Jordan,CHI,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,6.8,6.7,1,1
Scottie Pippen,CHI,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,6.7,6.6,1,1
Anfernee Hardaway,ORL,37.6,20.5,4.5,5.6,1.6,0.6,0.447,0.318,0.82,8.1,3.8,4.7,1,1
Grant Hill,DET,39.3,21.4,9,7.3,1.8,0.6,0.496,0.303,0.711,14.6,7.9,8,1,1
Dikembe Mutombo,ATL,37.2,13.3,11.6,1.4,0.6,3.3,0.527,0,0.705,11.3,3.9,3.2,0,1
Glen Rice,CHH,42.6,26.8,4,2,0.9,0.3,0.477,0.47,0.867,10.8,2.7,1.2,1,1
Vin Baker,MIL,40.5,21,10.3,2.7,1,1.4,0.505,0.278,0.687,8.3,3.7,2.6,1,1
Christian Laettner,ATL,38.3,18.1,8.8,2.7,1.2,0.8,0.486,0.352,0.816,11.6,3.8,2.8,0,1
Terrell Brandon,CLE,36.8,19.5,3.9,6.3,1.8,0.4,0.438,0.373,0.902,10.8,4.8,4.6,0,1
Tim Hardaway,MIA,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,5.6,5.1,1,1
Chris Webber,WSB,39,20.1,10.3,4.6,1.7,1.9,0.518,0.397,0.565,9.3,6.1,6.6,0,1
Joe Dumars,DET,37,14.7,2.4,4,0.7,0,0.44,0.432,0.867,8.8,2.3,1.2,0,1
Gary Payton,SEA,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,6.2,5.6,1,1
John Stockton,UTA,35.3,14.4,2.8,10.5,2,0.2,0.548,0.422,0.846,13.6,4.3,3.9,1,1
Hakeem Olajuwon,HOU,36.6,23.2,9.2,3,1.5,2.2,0.51,0.313,0.787,9.1,3.7,3.2,1,1
Karl Malone,UTA,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,7.9,8.5,1,1
Shawn Kemp,SEA,34,18.7,10,1.9,1.5,1,0.51,0.364,0.742,10,2.8,2,0,1
Latrell Sprewell,GSW,41.9,24.2,4.6,6.3,1.7,0.6,0.449,0.354,0.843,8.1,3.9,2.6,0,1
Mitch Richmond,SAC,38.6,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,10.8,4.2,3.3,1,1
Detlef Schrempf,SEA,35.9,16.8,6.5,4.4,1,0.3,0.492,0.354,0.801,8,2.7,2.8,0,1
Tom Gugliotta,MIN,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,3.2,2,0,1
